FolderPath,PrefabName,InitPos,InitRot,GameObjectName
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-89.668959/4.688001/-1254.463998,0.0/200.242556/0.0,C119BS010023
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-82.582959/4.784002/-1247.671998,0.0/71.163682/0.0,C119BS010024
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-139.444959/5.120000/-1360.403998,0.0/18.237220/0.0,C119BS010025
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,_R_Y_G.prefab,-135.744959/5.175000/-1360.592998,0.0/18.237220/0.0,C119BS010026
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,_R_Y_G.prefab,-136.918959/4.702001/-1470.506998,0.0/359.589191/0.0,C119BS010027
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-140.283959/4.751001/-1470.568998,0.0/359.589191/0.0,C119BS010028
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-143.143959/4.747998/-1470.643998,0.0/359.589191/0.0,C119BS010029
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,_R_Y_G.prefab,-138.019959/4.721002/-1504.999998,0.0/359.589191/0.0,C119BS010030
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-141.387959/4.778001/-1504.967998,0.0/359.589191/0.0,C119BS010031
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-144.339959/4.705999/-1504.778998,0.0/359.589191/0.0,C119BS010032
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-138.854959/5.273999/-1602.798998,0.0/358.147175/0.0,C119BS010033
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-133.900959/5.383001/-1619.453998,0.0/153.317732/0.0,C119BS010034
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-131.522959/4.702001/-1508.822998,0.0/181.366424/0.0,C119BS010035
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-128.661959/4.721002/-1508.793998,0.0/181.366424/0.0,C119BS010036
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-128.758959/5.034002/-1476.053998,0.0/181.366424/0.0,C119BS010037
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-125.842959/5.017999/-1476.013998,0.0/181.366424/0.0,C119BS010038
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-132.210959/4.862001/-1379.306998,0.0/179.734313/0.0,C119BS010039
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-112.871959/4.817998/-1184.214998,0.0/162.471145/0.0,C119BS010040
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-120.789959/2.273999/-1183.554998,0.0/33.076174/0.0,C119BS010041
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-118.974959/2.061999/-1176.921998,0.0/33.076174/0.0,C119BS010042
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-109.686959/2.085000/-1187.216998,0.0/162.471145/0.0,C119BS010043
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-98.670959/2.152999/-1166.763998,0.0/118.895988/0.0,C119BS010044
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-109.946959/2.008001/-1164.031998,0.0/33.076174/0.0,C119BS010045
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-106.468959/4.883001/-1166.808998,0.0/33.076174/0.0,C119BS010046
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-102.123959/4.771001/-1177.023998,0.0/118.895988/0.0,C119BS010047
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-99.204959/2.040000/-1173.705998,0.0/118.895988/0.0,C119BS010048
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-103.268959/2.233001/-1187.188998,0.0/162.471145/0.0,C119BS010049
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-113.030959/2.047000/-1168.381998,0.0/33.076174/0.0,C119BS010050
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-116.928959/4.964002/-1486.523998,0.0/89.831336/0.0,C119BS010051
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-116.882959/4.926000/-1483.428998,0.0/89.831336/0.0,C119BS010052
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-117.281959/2.109000/-1480.431998,0.0/89.831336/0.0,C119BS010053
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-123.587959/2.067001/-1505.213998,0.0/181.366424/0.0,C119BS010054
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-156.294959/4.925000/-1494.480998,0.0/269.401877/0.0,C119BS010055
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-156.529959/4.965001/-1497.347998,0.0/269.401877/0.0,C119BS010056
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-156.249959/2.343000/-1500.851998,0.0/269.401877/0.0,C119BS010057
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-150.413959/2.240001/-1475.729998,0.0/359.774365/0.0,C119BS010058
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-123.893959/5.072999/-1500.831998,0.0/269.401877/0.0,C119BS010059
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-124.284959/5.106000/-1504.000998,0.0/269.401877/0.0,C119BS010060
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-125.137959/2.230001/-1508.234998,0.0/181.366424/0.0,C119BS010061
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-149.812959/2.033000/-1505.827998,0.0/269.401877/0.0,C119BS010062
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-63.784959/4.905999/-1490.747998,0.0/0.0/0.0,C119BS010063
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-63.776959/4.947000/-1493.761998,0.0/0.0/0.0,C119BS010064
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-78.370959/2.249999/-1485.569998,0.0/359.561713/0.0,C119BS010065
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-85.759959/2.030999/-1494.746998,0.0/269.539347/0.0,C119BS010066
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-63.447959/1.988000/-1504.351998,0.0/179.940977/0.0,C119BS010067
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-77.794959/2.383001/-1496.005998,0.0/359.561713/0.0,C119BS010068
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-73.002959/4.906999/-1494.945998,0.0/359.561713/0.0,C119BS010069
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-63.705959/2.107000/-1484.178998,0.0/179.940977/0.0,C119BS010070
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-77.536959/2.282001/-1476.753998,0.0/359.561713/0.0,C119BS010071
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-128.576959/5.219999/-1608.105998,0.0/57.333535/0.0,C119BS010072
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-147.605959/4.961999/-1370.496998,0.0/178.230139/0.0,C119BS010073
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-123.376959/4.659002/-1368.483998,0.0/130.728723/0.0,C119BS010074
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_G.prefab,-76.088959/4.983998/-1495.328998,0.0/359.561713/0.0,C119BS010075
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-70.045959/4.759999/-1484.747998,0.0/179.940977/0.0,C119BS010076
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-67.274959/4.682000/-1484.781998,0.0/179.940977/0.0,C119BS010077
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-148.573959/2.152999/-1471.534998,0.0/359.774365/0.0,C119BS010078
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-149.981959/4.879998/-1480.614998,0.0/89.831336/0.0,C119BS010079
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_TL/KR,TL_Hor_R_Y_L_G.prefab,-149.663959/4.903001/-1477.678998,0.0/89.831336/0.0,C119BS010080
Assets/1_Module/Map/MapManagerModule/RoadObject/Prefabs/01_MapCommon_PS/KR,PS_R_G.prefab,-124.355959/2.298000/-1474.773998,0.0/179.743635/0.0,C119BS010081
